Nr	Well	Drug	Conc	ConcMock	Category	Class	Target	Action
99	E3	Cetirizine dihydrochloride	230.9	1	Human drug	Human drug	Human drug	NA
100	E4	Cetirizine dihydrochloride	115.5	2	Human drug	Human drug	Human drug	NA
101	E5	Chloramphenicol	1	1	Antibiotic	Protein-synthesis	Protein-synthesis	Static
102	E6	Chloramphenicol	0.48	2	Antibiotic	Protein-synthesis	Protein-synthesis	Static
103	E7	Chlorhexidine	0.51	1	Anti-infective	Anti-infective	Anti-infective	NA
104	E8	Chlorhexidine	0.25	2	Anti-infective	Anti-infective	Anti-infective	NA
105	E9	Cidofovir	139.6	1	Anti-infective	Anti-infective	Anti-infective	NA
106	E10	Cidofovir	69.8	2	Anti-infective	Anti-infective	Anti-infective	NA
107	E11	Ciprofloxacin	0.0099	1	Antibiotic	Fluoroquinolone	Nucleic acids	Cidal
108	E12	Ciprofloxacin	0.005	2	Antibiotic	Fluoroquinolone	Nucleic acids	Cidal
109	E13	Clarithromycin	29.9	1	Antibiotic	Macrolide	Protein-synthesis	Static
110	E14	Clarithromycin	15	2	Antibiotic	Macrolide	Protein-synthesis	Static
111	E15	Clindamycin	2.1	1	Antibiotic	Lincosamide	Protein-synthesis	Static
112	E16	Clindamycin	1	2	Antibiotic	Lincosamide	Protein-synthesis	Static
113	E17	Colistin	0.38	1	Antibiotic	Membrane	Membrane	Cidal
114	E18	Colistin	0.19	2	Antibiotic	Membrane	Membrane	Cidal
115	E19	Curcumin	184.2	1	Food	Food	Food	NA
116	E20	Curcumin	92.1	2	Food	Food	Food	NA
117	E21	Cycloserine D	7.7	1	Antibiotic	Cell-wall	Cell-wall	Static
118	E22	Cycloserine D	3.8	2	Antibiotic	Cell-wall	Cell-wall	Static
119	E23	Deoxycholic acid	196.3	1	Human metabolite	Human metabolite	Human metabolite	NA
120	E24	Deoxycholic acid	98.1	2	Human metabolite	Human metabolite	Human metabolite	NA
121	F1	Cerulenin	2.5	3	Anti-infective	Anti-infective	Anti-infective	NA
122	F2	Cerulenin	1.3	4	Anti-infective	Anti-infective	Anti-infective	NA
123	F3	Cetirizine dihydrochloride	57.7	3	Human drug	Human drug	Human drug	NA
124	F4	Cetirizine dihydrochloride	28.9	4	Human drug	Human drug	Human drug	NA
125	F5	Chloramphenicol	0.24	3	Antibiotic	Protein-synthesis	Protein-synthesis	Static
126	F6	Chloramphenicol	0.12	4	Antibiotic	Protein-synthesis	Protein-synthesis	Static
127	F7	Chlorhexidine	0.13	3	Anti-infective	Anti-infective	Anti-infective	NA
128	F8	Chlorhexidine	0.063	4	Anti-infective	Anti-infective	Anti-infective	NA
129	F9	Cidofovir	34.9	3	Anti-infective	Anti-infective	Anti-infective	NA
130	F10	Cidofovir	17.4	4	Anti-infective	Anti-infective	Anti-infective	NA
131	F11	Ciprofloxacin	0.0025	3	Antibiotic	Fluoroquinolone	Nucleic acids	Cidal
132	F12	Ciprofloxacin	0.0012	4	Antibiotic	Fluoroquinolone	Nucleic acids	Cidal
133	F13	Clarithromycin	7.5	3	Antibiotic	Macrolide	Protein-synthesis	Static
134	F14	Clarithromycin	3.7	4	Antibiotic	Macrolide	Protein-synthesis	Static
135	F15	Clindamycin	0.52	3	Antibiotic	Lincosamide	Protein-synthesis	Static
136	F16	Clindamycin	0.26	4	Antibiotic	Lincosamide	Protein-synthesis	Static
137	F17	Colistin	0.1	3	Antibiotic	Membrane	Membrane	Cidal
138	F18	Colistin	0.048	4	Antibiotic	Membrane	Membrane	Cidal
139	F19	Curcumin	46	3	Food	Food	Food	NA
140	F20	Curcumin	23	4	Food	Food	Food	NA
141	F21	Cycloserine D	1.9	3	Antibiotic	Cell-wall	Cell-wall	Static
142	F22	Cycloserine D	1	4	Antibiotic	Cell-wall	Cell-wall	Static
143	F23	Deoxycholic acid	49.1	3	Human metabolite	Human metabolite	Human metabolite	NA
144	F24	Deoxycholic acid	24.5	4	Human metabolite	Human metabolite	Human metabolite	NA
145	G1	Dopamine	94.8	1	Human metabolite	Human metabolite	Human metabolite	NA
146	G2	Dopamine	47.4	2	Human metabolite	Human metabolite	Human metabolite	NA
147	G3	Doxorubicin	2.3	1	Human drug	Human drug	Human drug	NA
148	G4	Doxorubicin	1.2	2	Human drug	Human drug	Human drug	NA
149	G5	Doxycycline	0.51	1	Antibiotic	Tetracycline	Protein-synthesis	Static
150	G6	Doxycycline	0.26	2	Antibiotic	Tetracycline	Protein-synthesis	Static
151	G7	EDTA	146.1	1	Research compound	Research compound	Research compound	NA
152	G8	EDTA	73.1	2	Research compound	Research compound	Research compound	NA
153	G9	EGCG	22.9	1	Food	Food	Food	NA
154	G10	EGCG	11.5	2	Food	Food	Food	NA
155	G11	Erythromycin	14.7	1	Antibiotic	Macrolide	Protein-synthesis	Static
156	G12	Erythromycin	7.3	2	Antibiotic	Macrolide	Protein-synthesis	Static
157	G13	Estradiol	136.2	1	Human metabolite	Human metabolite	Human metabolite	NA
158	G14	Estradiol	68.1	2	Human metabolite	Human metabolite	Human metabolite	NA
159	G15	Ethidiumbromide	197.1	1	Research compound	Research compound	Research compound	NA
160	G16	Ethidiumbromide	98.6	2	Research compound	Research compound	Research compound	NA
161	G17	Fosfomycin	0.091	1	Antibiotic	Cell-wall	Cell-wall	Cidal
162	G18	Fosfomycin	0.046	2	Antibiotic	Cell-wall	Cell-wall	Cidal
163	G19	Fusidic acid	107.7	1	Antibiotic	Protein-synthesis	Protein-synthesis	Static
164	G20	Fusidic acid	53.9	2	Antibiotic	Protein-synthesis	Protein-synthesis	Static
165	G21	Gentamicin	1	1	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
166	G22	Gentamicin	0.52	2	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
167	G23	Hydrocortisone	181.2	1	Human metabolite	Human metabolite	Human metabolite	NA
168	G24	Hydrocortisone	90.6	2	Human metabolite	Human metabolite	Human metabolite	NA
169	H1	Dopamine	23.7	3	Human metabolite	Human metabolite	Human metabolite	NA
170	H2	Dopamine	11.9	4	Human metabolite	Human metabolite	Human metabolite	NA
171	H3	Doxorubicin	0.58	3	Human drug	Human drug	Human drug	NA
172	H4	Doxorubicin	0.29	4	Human drug	Human drug	Human drug	NA
173	H5	Doxycycline	0.13	3	Antibiotic	Tetracycline	Protein-synthesis	Static
174	H6	Doxycycline	0.064	4	Antibiotic	Tetracycline	Protein-synthesis	Static
175	H7	EDTA	36.5	3	Research compound	Research compound	Research compound	NA
176	H8	EDTA	18.3	4	Research compound	Research compound	Research compound	NA
177	H9	EGCG	5.7	3	Food	Food	Food	NA
178	H10	EGCG	2.9	4	Food	Food	Food	NA
179	H11	Erythromycin	3.7	3	Antibiotic	Macrolide	Protein-synthesis	Static
180	H12	Erythromycin	1.8	4	Antibiotic	Macrolide	Protein-synthesis	Static
181	H13	Estradiol	34	3	Human metabolite	Human metabolite	Human metabolite	NA
182	H14	Estradiol	17	4	Human metabolite	Human metabolite	Human metabolite	NA
183	H15	Ethidiumbromide	49.3	3	Research compound	Research compound	Research compound	NA
184	H16	Ethidiumbromide	24.6	4	Research compound	Research compound	Research compound	NA
185	H17	Fosfomycin	0.023	3	Antibiotic	Cell-wall	Cell-wall	Cidal
186	H18	Fosfomycin	0.011	4	Antibiotic	Cell-wall	Cell-wall	Cidal
187	H19	Fusidic acid	26.9	3	Antibiotic	Protein-synthesis	Protein-synthesis	Static
188	H20	Fusidic acid	13.5	4	Antibiotic	Protein-synthesis	Protein-synthesis	Static
189	H21	Gentamicin	0.26	3	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
190	H22	Gentamicin	0.13	4	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
191	H23	Hydrocortisone	45.3	3	Human metabolite	Human metabolite	Human metabolite	NA
192	H24	Hydrocortisone	22.7	4	Human metabolite	Human metabolite	Human metabolite	NA
193	I1	Ibuprofen	103.1	1	Human drug	Human drug	Human drug	NA
194	I2	Ibuprofen	51.6	2	Human drug	Human drug	Human drug	NA
195	I3	Imipenem	0.16	1	Antibiotic	Beta-lactam	Cell-wall	Cidal
196	I4	Imipenem	0.079	2	Antibiotic	Beta-lactam	Cell-wall	Cidal
197	I5	Indole	117.2	1	Bacterial metabolite	Bacterial metabolite	Bacterial metabolite	NA
198	I6	Indole	58.6	2	Bacterial metabolite	Bacterial metabolite	Bacterial metabolite	NA
199	I7	Levofloxacin	0.036	1	Antibiotic	Fluoroquinolone	Nucleic acids	Cidal
200	I8	Levofloxacin	0.018	2	Antibiotic	Fluoroquinolone	Nucleic acids	Cidal
201	I9	Lithocholic acid	188.3	1	Human metabolite	Human metabolite	Human metabolite	NA
202	I10	Lithocholic acid	94.1	2	Human metabolite	Human metabolite	Human metabolite	NA
203	I11	Loperamide	256.8	1	Human drug	Human drug	Human drug	NA
204	I12	Loperamide	128.4	2	Human drug	Human drug	Human drug	NA
205	I13	Water_2	0	1	Water	Water	Water	NA
206	I14	Water_2	0	2	Water	Water	Water	NA
207	I15	Mecillinam	0.065	1	Antibiotic	Beta-lactam	Cell-wall	Cidal
208	I16	Mecillinam	0.033	2	Antibiotic	Beta-lactam	Cell-wall	Cidal
209	I17	Meropenem	0.088	1	Antibiotic	Beta-lactam	Cell-wall	Cidal
210	I18	Meropenem	0.044	2	Antibiotic	Beta-lactam	Cell-wall	Cidal
211	I19	Metformin	165.6	1	Human drug	Human drug	Human drug	NA
212	I20	Metformin	82.8	2	Human drug	Human drug	Human drug	NA
213	I21	Metronidazole	0.86	1	Antibiotic	DNA	Nucleic acids	Cidal
214	I22	Metronidazole	0.43	2	Antibiotic	DNA	Nucleic acids	Cidal
215	I23	Minocycline	0.49	1	Antibiotic	Tetracycline	Protein-synthesis	Static
216	I24	Minocycline	0.25	2	Antibiotic	Tetracycline	Protein-synthesis	Static
217	J1	Ibuprofen	25.8	3	Human drug	Human drug	Human drug	NA
218	J2	Ibuprofen	12.9	4	Human drug	Human drug	Human drug	NA
219	J3	Imipenem	0.04	3	Antibiotic	Beta-lactam	Cell-wall	Cidal
220	J4	Imipenem	0.02	4	Antibiotic	Beta-lactam	Cell-wall	Cidal
221	J5	Indole	29.3	3	Bacterial metabolite	Bacterial metabolite	Bacterial metabolite	NA
222	J6	Indole	14.6	4	Bacterial metabolite	Bacterial metabolite	Bacterial metabolite	NA
223	J7	Levofloxacin	0.009	3	Antibiotic	Fluoroquinolone	Nucleic acids	Cidal
224	J8	Levofloxacin	0.0045	4	Antibiotic	Fluoroquinolone	Nucleic acids	Cidal
225	J9	Lithocholic acid	47.1	3	Human metabolite	Human metabolite	Human metabolite	NA
226	J10	Lithocholic acid	23.5	4	Human metabolite	Human metabolite	Human metabolite	NA
227	J11	Loperamide	64.2	3	Human drug	Human drug	Human drug	NA
228	J12	Loperamide	32.1	4	Human drug	Human drug	Human drug	NA
229	J13	Water_2	0	3	Water	Water	Water	NA
230	J14	Water_2	0	4	Water	Water	Water	NA
231	J15	Mecillinam	0.016	3	Antibiotic	Beta-lactam	Cell-wall	Cidal
232	J16	Mecillinam	0.0081	4	Antibiotic	Beta-lactam	Cell-wall	Cidal
233	J17	Meropenem	0.022	3	Antibiotic	Beta-lactam	Cell-wall	Cidal
234	J18	Meropenem	0.011	4	Antibiotic	Beta-lactam	Cell-wall	Cidal
235	J19	Metformin	41.4	3	Human drug	Human drug	Human drug	NA
236	J20	Metformin	20.7	4	Human drug	Human drug	Human drug	NA
237	J21	Metronidazole	0.21	3	Antibiotic	DNA	Nucleic acids	Cidal
238	J22	Metronidazole	0.11	4	Antibiotic	DNA	Nucleic acids	Cidal
239	J23	Minocycline	0.12	3	Antibiotic	Tetracycline	Protein-synthesis	Static
240	J24	Minocycline	0.062	4	Antibiotic	Tetracycline	Protein-synthesis	Static
241	K1	Mitomycin C	0.5	1	Human drug	Human drug	Human drug	NA
242	K2	Mitomycin C	0.25	2	Human drug	Human drug	Human drug	NA
243	K3	Moxifloxacin	0.088	1	Antibiotic	Fluoroquinolone	Nucleic acids	Cidal
244	K4	Moxifloxacin	0.044	2	Antibiotic	Fluoroquinolone	Nucleic acids	Cidal
245	K5	Nitrofurantoin	3.6	1	Antibiotic	DNA	Nucleic acids	Cidal
246	K6	Nitrofurantoin	1.8	2	Antibiotic	DNA	Nucleic acids	Cidal
247	K7	Noradrenalin	159.6	1	Human metabolite	Human metabolite	Human metabolite	NA
248	K8	Noradrenalin	79.8	2	Human metabolite	Human metabolite	Human metabolite	NA
249	K9	Novobiocin	19	1	Antibiotic	DNA	Nucleic acids	Static
250	K10	Novobiocin	9.5	2	Antibiotic	DNA	Nucleic acids	Static
251	K11	Omeprazole	172.7	1	Human drug	Human drug	Human drug	NA
252	K12	Omeprazole	86.4	2	Human drug	Human drug	Human drug	NA
253	K13	Oxacillin	4.2	1	Antibiotic	Beta-lactam	Cell-wall	Cidal
254	K14	Oxacillin	2.1	2	Antibiotic	Beta-lactam	Cell-wall	Cidal
255	K15	Paraquat	5.1	1	Research compound	Research compound	Research compound	NA
256	K16	Paraquat	2.6	2	Research compound	Research compound	Research compound	NA
257	K17	Penicillin G	3.7	1	Antibiotic	Beta-lactam	Cell-wall	Cidal
258	K18	Penicillin G	1.9	2	Antibiotic	Beta-lactam	Cell-wall	Cidal
259	K19	Phleomycin	5	1	Antibiotic	DNA	Nucleic acids	Cidal
260	K20	Phleomycin	2.5	2	Antibiotic	DNA	Nucleic acids	Cidal
261	K21	Piperacillin	0.27	1	Antibiotic	Beta-lactam	Cell-wall	Cidal
262	K22	Piperacillin	0.13	2	Antibiotic	Beta-lactam	Cell-wall	Cidal
263	K23	Piperine	142.7	1	Food	Food	Food	NA
264	K24	Piperine	71.3	2	Food	Food	Food	NA
265	L1	Mitomycin C	0.13	3	Human drug	Human drug	Human drug	NA
266	L2	Mitomycin C	0.063	4	Human drug	Human drug	Human drug	NA
267	L3	Moxifloxacin	0.022	3	Antibiotic	Fluoroquinolone	Nucleic acids	Cidal
268	L4	Moxifloxacin	0.011	4	Antibiotic	Fluoroquinolone	Nucleic acids	Cidal
269	L5	Nitrofurantoin	0.89	3	Antibiotic	DNA	Nucleic acids	Cidal
270	L6	Nitrofurantoin	0.45	4	Antibiotic	DNA	Nucleic acids	Cidal
271	L7	Noradrenalin	39.9	3	Human metabolite	Human metabolite	Human metabolite	NA
272	L8	Noradrenalin	20	4	Human metabolite	Human metabolite	Human metabolite	NA
273	L9	Novobiocin	4.8	3	Antibiotic	DNA	Nucleic acids	Static
274	L10	Novobiocin	2.4	4	Antibiotic	DNA	Nucleic acids	Static
275	L11	Omeprazole	43.2	3	Human drug	Human drug	Human drug	NA
276	L12	Omeprazole	21.6	4	Human drug	Human drug	Human drug	NA
277	L13	Oxacillin	1.1	3	Antibiotic	Beta-lactam	Cell-wall	Cidal
278	L14	Oxacillin	0.53	4	Antibiotic	Beta-lactam	Cell-wall	Cidal
279	L15	Paraquat	1.3	3	Research compound	Research compound	Research compound	NA
280	L16	Paraquat	0.64	4	Research compound	Research compound	Research compound	NA
281	L17	Penicillin G	0.93	3	Antibiotic	Beta-lactam	Cell-wall	Cidal
282	L18	Penicillin G	0.47	4	Antibiotic	Beta-lactam	Cell-wall	Cidal
283	L19	Phleomycin	1.2	3	Antibiotic	DNA	Nucleic acids	Cidal
284	L20	Phleomycin	0.62	4	Antibiotic	DNA	Nucleic acids	Cidal
285	L21	Piperacillin	0.067	3	Antibiotic	Beta-lactam	Cell-wall	Cidal
286	L22	Piperacillin	0.034	4	Antibiotic	Beta-lactam	Cell-wall	Cidal
287	L23	Piperine	35.7	3	Food	Food	Food	NA
288	L24	Piperine	17.8	4	Food	Food	Food	NA
289	M1	PMS	9.2	1	Research compound	Research compound	Research compound	NA
290	M2	PMS	4.6	2	Research compound	Research compound	Research compound	NA
291	M3	Polymyxin B	0.28	1	Antibiotic	Membrane	Membrane	Cidal
292	M4	Polymyxin B	0.14	2	Antibiotic	Membrane	Membrane	Cidal
293	M5	Procaine	10634	1	Human drug	Human drug	Human drug	NA
294	M6	Procaine	5317	2	Human drug	Human drug	Human drug	NA
295	M7	Progesterone	157.2	1	Human metabolite	Human metabolite	Human metabolite	NA
296	M8	Progesterone	78.6	2	Human metabolite	Human metabolite	Human metabolite	NA
297	M9	Pseudomonic acid	2	1	Antibiotic	Protein-synthesis	Protein-synthesis	Static
298	M10	Pseudomonic acid	1	2	Antibiotic	Protein-synthesis	Protein-synthesis	Static
299	M11	Puromycin	24.5	1	Antibiotic	Protein-synthesis	Protein-synthesis	Static
300	M12	Puromycin	12.2	2	Antibiotic	Protein-synthesis	Protein-synthesis	Static
301	M13	Quercetin	151.1	1	Food	Food	Food	NA
302	M14	Quercetin	75.6	2	Food	Food	Food	NA
303	M15	Quinine	324.4	1	Human drug	Human drug	Human drug	NA
304	M16	Quinine	162.2	2	Human drug	Human drug	Human drug	NA
305	M17	Rifampicin	8.2	1	Antibiotic	RNA	Nucleic acids	Static
306	M18	Rifampicin	4.1	2	Antibiotic	RNA	Nucleic acids	Static
307	M19	Salicylate	138.1	1	Human drug	Human drug	Human drug	NA
308	M20	Salicylate	69.1	2	Human drug	Human drug	Human drug	NA
309	M21	Serotonine	106.3	1	Human metabolite	Human metabolite	Human metabolite	NA
310	M22	Serotonine	53.2	2	Human metabolite	Human metabolite	Human metabolite	NA
311	M23	Sodium urate	227.3	1	Human metabolite	Human metabolite	Human metabolite	NA
312	M24	Sodium urate	113.7	2	Human metabolite	Human metabolite	Human metabolite	NA
313	N1	PMS	2.3	3	Research compound	Research compound	Research compound	NA
314	N2	PMS	1.1	4	Research compound	Research compound	Research compound	NA
315	N3	Polymyxin B	0.069	3	Antibiotic	Membrane	Membrane	Cidal
316	N4	Polymyxin B	0.035	4	Antibiotic	Membrane	Membrane	Cidal
317	N5	Procaine	2658.5	3	Human drug	Human drug	Human drug	NA
318	N6	Procaine	1329.2	4	Human drug	Human drug	Human drug	NA
319	N7	Progesterone	39.3	3	Human metabolite	Human metabolite	Human metabolite	NA
320	N8	Progesterone	19.7	4	Human metabolite	Human metabolite	Human metabolite	NA
321	N9	Pseudomonic acid	0.5	3	Antibiotic	Protein-synthesis	Protein-synthesis	Static
322	N10	Pseudomonic acid	0.25	4	Antibiotic	Protein-synthesis	Protein-synthesis	Static
323	N11	Puromycin	6.1	3	Antibiotic	Protein-synthesis	Protein-synthesis	Static
324	N12	Puromycin	3.1	4	Antibiotic	Protein-synthesis	Protein-synthesis	Static
325	N13	Quercetin	37.8	3	Food	Food	Food	NA
326	N14	Quercetin	18.9	4	Food	Food	Food	NA
327	N15	Quinine	81.1	3	Human drug	Human drug	Human drug	NA
328	N16	Quinine	40.6	4	Human drug	Human drug	Human drug	NA
329	N17	Rifampicin	2.1	3	Antibiotic	RNA	Nucleic acids	Static
330	N18	Rifampicin	1	4	Antibiotic	RNA	Nucleic acids	Static
331	N19	Salicylate	34.5	3	Human drug	Human drug	Human drug	NA
332	N20	Salicylate	17.3	4	Human drug	Human drug	Human drug	NA
333	N21	Serotonine	26.6	3	Human metabolite	Human metabolite	Human metabolite	NA
334	N22	Serotonine	13.3	4	Human metabolite	Human metabolite	Human metabolite	NA
335	N23	Sodium urate	56.8	3	Human metabolite	Human metabolite	Human metabolite	NA
336	N24	Sodium urate	28.4	4	Human metabolite	Human metabolite	Human metabolite	NA
337	O1	Spectinomycin	5	1	Antibiotic	Protein-synthesis	Protein-synthesis	Static
338	O2	Spectinomycin	2.5	2	Antibiotic	Protein-synthesis	Protein-synthesis	Static
339	O3	Spiramycin	21.1	1	Antibiotic	Macrolide	Protein-synthesis	Static
340	O4	Spiramycin	10.5	2	Antibiotic	Macrolide	Protein-synthesis	Static
341	O5	Sulfamethoxazole	25.3	1	Antibiotic	Antifolate	Folate synthesis	Static
342	O6	Sulfamethoxazole	12.7	2	Antibiotic	Antifolate	Folate synthesis	Static
